Time,day,hour,PTotal,temp,precipitation,wind_speed,wind_dir,rel_humidity,class(fcm),,
1/16/2019 11:00,1/16/2019,11:00,25.36816406,17.2,0,2.2,346,99,5,testing,1
1/16/2019 12:00,1/16/2019,12:00,20.02294922,17.5,0,2.4,334,97,5,testing,1
1/16/2019 13:00,1/16/2019,13:00,18.65478516,17.6,0,2.7,346,96,5,testing,1
1/16/2019 14:00,1/16/2019,14:00,12.77783203,17.9,0,2.3,348,94,5,testing,1
1/16/2019 15:00,1/16/2019,15:00,7.876953125,17.7,0,2.6,352,93,5,testing,1
1/16/2019 16:00,1/16/2019,16:00,4.055664063,17.1,0,3.1,348,99,5,testing,1
1/16/2019 17:00,1/16/2019,17:00,0.626953125,16.2,1,2.4,359,99,5,testing,1
1/17/2019 6:00,1/17/2019,6:00,0.016601563,14.4,0,2.2,6,99,5,training,2
1/17/2019 7:00,1/17/2019,7:00,1.479980469,14.5,0,2.4,345,99,5,training,2
1/17/2019 8:00,1/17/2019,8:00,11.28417969,14.3,0,2.4,5,99,5,training,2
1/17/2019 9:00,1/17/2019,9:00,18.64746094,15.1,0,3.5,352,95,5,training,2
1/17/2019 10:00,1/17/2019,10:00,21.62109375,15.7,0,2.8,11,92,5,training,2
1/17/2019 11:00,1/17/2019,11:00,27.98242188,16,0,3.6,10,89,5,training,2
1/17/2019 12:00,1/17/2019,12:00,60.88623047,16.2,0,3.6,351,89,5,training,2
1/17/2019 13:00,1/17/2019,13:00,43.00292969,17.4,0,1.9,4,83,5,training,2
1/17/2019 14:00,1/17/2019,14:00,39.45605469,18.1,0,1.3,4,80,5,training,2
1/17/2019 15:00,1/17/2019,15:00,31.28417969,18.6,0,2.7,354,77,5,training,2
1/17/2019 16:00,1/17/2019,16:00,11.51660156,18.5,0,3.1,344,75,5,training,2
1/17/2019 17:00,1/17/2019,17:00,1.206054688,17.3,0,4.3,348,80,5,training,2
1/18/2019 6:00,1/18/2019,6:00,0.247070313,14.2,0,1,356,93,2,training,2
1/18/2019 7:00,1/18/2019,7:00,15.61328125,13.7,0,0.8,355,94,2,training,2
1/18/2019 8:00,1/18/2019,8:00,32.30517578,14.6,0,0.4,360,88,2,training,2
1/18/2019 9:00,1/18/2019,9:00,86.14501953,15.9,0,0.4,231,83,2,training,2
1/18/2019 10:00,1/18/2019,10:00,117.8310547,17.6,0,0.6,343,77,2,training,2
1/18/2019 11:00,1/18/2019,11:00,134.2861328,19.4,0,0.9,216,73,2,training,2
1/18/2019 12:00,1/18/2019,12:00,130.6303711,20.5,0,1.6,211,69,2,training,2
1/18/2019 13:00,1/18/2019,13:00,122.9550781,22.3,0,0.9,223,61,2,training,2
1/18/2019 14:00,1/18/2019,14:00,100.7983398,22.8,0,1.2,281,59,2,training,2
1/18/2019 15:00,1/18/2019,15:00,46.82324219,23.4,0,0.9,254,56,2,training,2
1/18/2019 16:00,1/18/2019,16:00,18.69042969,22.5,0,2,289,65,2,training,2
1/18/2019 17:00,1/18/2019,17:00,1.881347656,20.2,0,2.9,326,72,2,training,2
1/19/2019 6:00,1/19/2019,6:00,0.330566406,15,0,1.2,75,99,4,testing,1
1/19/2019 7:00,1/19/2019,7:00,12.7421875,15.6,0,0.6,360,99,4,testing,1
1/19/2019 8:00,1/19/2019,8:00,42.15136719,15.8,0,2.3,353,99,4,testing,1
1/19/2019 9:00,1/19/2019,9:00,45.92724609,16.6,0,1.8,353,96,4,testing,1
1/19/2019 10:00,1/19/2019,10:00,89.92431641,19.1,0,1.4,1,83,4,testing,1
1/19/2019 11:00,1/19/2019,11:00,95.24560547,20.6,0,2.4,345,75,4,testing,1
1/19/2019 12:00,1/19/2019,12:00,66.73535156,21.4,0,2.3,355,69,4,testing,1
1/19/2019 13:00,1/19/2019,13:00,58.83056641,22.2,0,2.4,319,64,4,testing,1
1/19/2019 14:00,1/19/2019,14:00,45.67138672,21.5,0,2.6,340,65,4,testing,1
1/19/2019 15:00,1/19/2019,15:00,33.64306641,21.5,0,1.2,326,68,4,testing,1
1/19/2019 16:00,1/19/2019,16:00,14.90820313,21.9,0,1.4,344,67,4,testing,1
1/19/2019 17:00,1/19/2019,17:00,0.837402344,21.1,0,1.1,338,67,4,testing,1
1/20/2019 6:00,1/20/2019,6:00,0.103515625,17.5,0,0.5,86,99,4,training,2
1/20/2019 7:00,1/20/2019,7:00,9.33203125,18.1,0,0.6,149,96,4,training,2
1/20/2019 8:00,1/20/2019,8:00,28.2265625,18.9,0,0.6,276,92,4,training,2
1/20/2019 9:00,1/20/2019,9:00,50.21386719,18.9,0,1.1,309,94,4,training,2
1/20/2019 10:00,1/20/2019,10:00,68.03857422,20,0,1.2,328,88,4,training,2
1/20/2019 11:00,1/20/2019,11:00,60.3828125,21,0,1,332,81,4,training,2
1/20/2019 12:00,1/20/2019,12:00,62.83984375,21.5,0,1.3,313,76,4,training,2
1/20/2019 13:00,1/20/2019,13:00,75.16650391,22.4,0,1.7,335,68,4,training,2
1/20/2019 14:00,1/20/2019,14:00,42.30029297,22.5,0,2,330,73,4,training,2
1/20/2019 15:00,1/20/2019,15:00,23.42675781,21.3,0,3.3,344,81,4,training,2
1/20/2019 16:00,1/20/2019,16:00,10.75976563,20.8,0,2.4,1,83,4,training,2
1/20/2019 17:00,1/20/2019,17:00,1.433105469,19.9,0,2.6,324,86,4,training,2
1/21/2019 6:00,1/21/2019,6:00,0.333496094,14.2,0,3.6,353,97,5,training,2
1/21/2019 7:00,1/21/2019,7:00,4.004882813,14.4,0,2.4,2,95,5,training,2
1/21/2019 8:00,1/21/2019,8:00,15.22021484,14.2,0.5,1.5,337,99,5,training,2
1/21/2019 9:00,1/21/2019,9:00,23.98876953,14.8,0,3.2,353,91,5,training,2
1/21/2019 10:00,1/21/2019,10:00,46.5625,15.3,0,1,22,91,5,training,2
1/21/2019 11:00,1/21/2019,11:00,32.85302734,16.4,0,2.1,3,86,5,training,2
1/21/2019 12:00,1/21/2019,12:00,40.85693359,17,0,1.1,2,81,5,training,2
1/21/2019 13:00,1/21/2019,13:00,42.13623047,17.8,0,0.5,40,79,5,training,2
1/21/2019 14:00,1/21/2019,14:00,58.39111328,18.6,0,0.9,42,75,5,training,2
1/21/2019 15:00,1/21/2019,15:00,24.69580078,18.8,0,3.4,359,73,5,training,2
1/21/2019 16:00,1/21/2019,16:00,9.581054688,17.4,0,4.7,344,80,5,training,2
1/21/2019 17:00,1/21/2019,17:00,0.959960938,16.4,0,4.2,344,85,5,training,2
1/22/2019 6:00,1/22/2019,6:00,0.014160156,13.9,0,3.9,348,89,5,training,2
1/22/2019 7:00,1/22/2019,7:00,6.028320313,14.1,0,3.2,2,88,5,training,2
1/22/2019 8:00,1/22/2019,8:00,20.16748047,14.4,0,2.3,18,88,5,training,2
1/22/2019 9:00,1/22/2019,9:00,27.57617188,14.9,0,2.6,3,84,5,training,2
1/22/2019 10:00,1/22/2019,10:00,36.25830078,15.2,0,3.9,3,82,5,training,2
1/22/2019 11:00,1/22/2019,11:00,33.57324219,15.5,0,2.8,346,75,5,training,2
1/22/2019 12:00,1/22/2019,12:00,43.92382813,15.6,0,4.6,1,71,5,training,2
1/22/2019 13:00,1/22/2019,13:00,47.95898438,16,0,3.9,353,71,5,training,2
1/22/2019 14:00,1/22/2019,14:00,34.46826172,16.8,0,2.9,6,67,5,training,2
1/22/2019 15:00,1/22/2019,15:00,43.46337891,16.6,0,4.3,350,67,5,training,2
1/22/2019 16:00,1/22/2019,16:00,23.23681641,16.7,0,3.4,3,66,5,training,2
1/22/2019 17:00,1/22/2019,17:00,3.058105469,16.3,0,3.5,356,65,5,training,2
1/23/2019 6:00,1/23/2019,6:00,0.36328125,10.4,0,0.7,9,93,2,training,2
1/23/2019 7:00,1/23/2019,7:00,17.92871094,10.5,0,0.3,348,93,2,training,2
1/23/2019 8:00,1/23/2019,8:00,54.82324219,11.8,0,0.3,58,88,2,training,2
1/23/2019 9:00,1/23/2019,9:00,92.82080078,14,0,0.3,360,80,2,training,2
1/23/2019 10:00,1/23/2019,10:00,119.9672852,16.3,0,1,40,72,2,training,2
1/23/2019 11:00,1/23/2019,11:00,133.6577148,17.9,0,1.5,321,66,2,training,2
1/23/2019 12:00,1/23/2019,12:00,133.9248047,19.6,0,1.5,254,55,2,training,2
1/23/2019 13:00,1/23/2019,13:00,121.9790039,20.9,0,1.6,239,51,2,training,2
1/23/2019 14:00,1/23/2019,14:00,95.69482422,21.2,0,2.2,314,50,2,training,2
1/23/2019 15:00,1/23/2019,15:00,54.37695313,21,0,2.7,326,54,2,training,2
1/23/2019 16:00,1/23/2019,16:00,25.26464844,20.3,0,2.8,326,58,2,training,2
1/23/2019 17:00,1/23/2019,17:00,2.874023438,18.8,0,3.2,322,63,2,training,2
1/24/2019 6:00,1/24/2019,6:00,0.385253906,12,0,0.5,74,99,2,training,2
1/24/2019 7:00,1/24/2019,7:00,18.51513672,11.9,0,0,0,99,2,training,2
1/24/2019 8:00,1/24/2019,8:00,56.27539063,13.1,0,0,0,96,2,training,2
1/24/2019 9:00,1/24/2019,9:00,93.4609375,15.2,0,1.9,5,86,2,training,2
1/24/2019 10:00,1/24/2019,10:00,119.1054688,17.5,0,1.1,352,74,2,training,2
1/24/2019 11:00,1/24/2019,11:00,132.7001953,19.6,0,1.8,12,64,2,training,2
1/24/2019 12:00,1/24/2019,12:00,134.4423828,21.4,0,1.3,341,55,2,training,2
1/24/2019 13:00,1/24/2019,13:00,122.8671875,22.4,0,1.5,296,48,2,training,2
1/24/2019 14:00,1/24/2019,14:00,95.08398438,23.1,0,2.5,320,49,2,training,2
1/24/2019 15:00,1/24/2019,15:00,61.02441406,22.6,0,2.7,318,53,2,training,2
1/24/2019 16:00,1/24/2019,16:00,25.02539063,22.2,0,2.4,316,53,2,training,2
1/24/2019 17:00,1/24/2019,17:00,3.32421875,20.3,0,2.6,324,64,2,training,2
1/25/2019 6:00,1/25/2019,6:00,0.39453125,12.6,0,0,0,99,2,training,2
1/25/2019 7:00,1/25/2019,7:00,20.01855469,12.4,0,0.2,0,99,2,training,2
1/25/2019 8:00,1/25/2019,8:00,59.83691406,14.7,0,1,36,87,2,training,2
1/25/2019 9:00,1/25/2019,9:00,92.31347656,18.3,0,0.9,21,69,2,training,2
1/25/2019 10:00,1/25/2019,10:00,114.1835938,20.2,0,0.6,327,63,2,training,2
1/25/2019 11:00,1/25/2019,11:00,130.4765625,21.8,0,0.5,333,52,2,training,2
1/25/2019 12:00,1/25/2019,12:00,132.6142578,22.2,0,1.6,285,54,2,training,2
1/25/2019 13:00,1/25/2019,13:00,118.8564453,23.6,0,1.4,322,50,2,training,2
