id,cluster,voltage_ab,voltage_bc,voltage_ca,current_ab,current_bc,current_ca, real_power_ab, real_power_bc, real_power_ca,apparent_power_ab,apparent_power_bc,apparent_power_ca,reactive_power_ab,reactive_power_bc,reactive_power_ca,frequency,power_factor,real_power,apparent_power,accumulate_consumption,duration_consumption,inserted_at
7780,1,222.48,221.43,222.29,70,75,65,9.5,11,10,16,16,15,-13,-11.5,-11,60,-0.653,31,47.5,0,8,6/5/2017 17:00
7781,2,222.31,221.26,222.15,32,32,38.4,4.48,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.543,13.44,24.32,19859.2,5.12,6/5/2017 17:00
7782,3,111.29,110.83,111.33,46,40,38,1.2,1.2,0.8,5,4.4,4.2,-4.8,-4.2,-4.2,60,-0.249,3.4,13.8,4110.4,1.4,6/5/2017 17:00
7783,1,221.87,220.83,221.67,70,65,65,8.5,9.5,10,15.5,15,15,-13,-11.5,-11,60,-0.621,28.5,46,0,5,6/5/2017 17:15
7784,2,221.85,220.75,221.56,38.4,32,38.4,5.76,3.84,4.48,8.96,7.68,8.32,-6.4,-6.4,-7.04,60,-0.58,14.72,24.96,19861.1,1.92,6/5/2017 17:15
7785,3,111.02,110.52,110.97,46,40,40,1,1.2,1.8,5,4.4,4.6,-5,-4.2,-4.2,60,-0.303,4.2,14.2,4111,0.6,6/5/2017 17:15
7786,1,222.4,221.51,222.22,65,60,60,5,6,7,14.5,14,13.5,-13.5,-12.5,-11.5,60,-0.444,18.5,42.5,0,8,6/5/2017 17:30
7787,2,222.27,221.32,222.04,32,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.538,12.8,24.32,19866.2,5.12,6/5/2017 17:30
7788,3,111.26,110.85,111.23,46,40,38,1.2,1.2,1.2,5.2,4.4,4.2,-5,-4.2,-4,60,-0.286,4,14,4112.4,1.4,6/5/2017 17:30
7789,1,221.89,221.13,222.01,70,60,60,7.5,5,7,15,13.5,13.5,-13,-12.5,-11.5,60,-0.469,20,42.5,0,3.5,6/5/2017 17:45
7790,2,221.59,220.84,221.64,32,32,38.4,3.84,3.84,4.48,8.32,7.68,8.32,-7.04,-6.4,-7.04,60,-0.534,12.8,24.32,19868.2,1.92,6/5/2017 17:45
7791,3,110.83,110.55,111,48,40,38,1.2,1.2,0.8,5,4.4,4,-5,-4.2,-4,60,-0.255,3.4,13.8,4113,0.6,6/5/2017 17:45
7792,1,220.13,219.37,219.98,65,60,60,5,5.5,7,14.5,13.5,13.5,-13.5,-12.5,-11.5,60,-0.441,18.5,42,0,6.5,6/5/2017 18:00
7793,2,220.08,219.27,219.96,38.4,32,38.4,3.84,3.84,4.48,8.32,7.68,8.32,-7.04,-6.4,-7.04,60,-0.534,12.8,24.32,19872.6,4.48,6/5/2017 18:00
7794,3,110.2,109.82,110.19,46,40,36,1,1,0.8,5,4.4,4,-5,-4.2,-4,60,-0.24,3.2,13.6,4114.2,1.2,6/5/2017 18:00
7795,1,219.98,218.86,219.72,75,60,60,7.5,5.5,7,16.5,13.5,13.5,-14.5,-12,-11.5,60,-0.479,21,44,0,3,6/5/2017 18:15
7796,2,220.36,219.29,220.08,38.4,32,38.4,3.84,3.84,3.84,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.532,12.8,24.32,19875.2,2.56,6/5/2017 18:15
7797,3,110.22,109.73,110.15,46,40,36,1.2,1.2,1,5,4.2,4,-5,-4.2,-4,60,-0.257,3.4,13.6,4114.8,0.6,6/5/2017 18:15
7798,1,219.21,218.37,219.07,75,60,60,8,5.5,7.5,16,13.5,13.5,-14,-12,-11,60,-0.497,21.5,43.5,0,7.5,6/5/2017 18:30
7799,2,219.31,218.44,219.05,38.4,32,38.4,3.84,3.84,4.48,8.32,7.68,8.32,-7.04,-6.4,-7.04,60,-0.531,12.8,24.32,19879,3.84,6/5/2017 18:30
7800,3,109.75,109.3,109.71,46,40,38,1,1.4,1.2,5,4.4,4,-4.8,-4.2,-3.8,60,-0.288,3.8,13.6,4116.2,1.4,6/5/2017 18:30
7801,1,219.77,219.01,219.65,70,60,60,7.5,6,7,16,13.5,13.5,-14,-12,-11.5,60,-0.491,21.5,43.5,0,3.5,6/5/2017 18:45
7802,2,219.79,219.02,219.79,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-7.04,-6.4,-7.04,60,-0.529,12.8,24.32,19881.6,2.56,6/5/2017 18:45
7803,3,109.83,109.54,109.95,46,40,34,1.2,1,1,5,4.4,3.8,-4.8,-4.2,-3.6,60,-0.268,3.6,13.2,4116.8,0.6,6/5/2017 18:45
7804,1,218.75,217.73,218.5,70,60,60,8,5.5,7,15.5,13.5,13,-13.5,-12,-11,60,-0.49,20.5,42.5,0,6.5,6/5/2017 19:00
7805,2,218.67,217.55,218.65,38.4,32,38.4,3.84,3.84,4.48,8.32,7.68,8.32,-7.04,-6.4,-7.04,60,-0.527,12.8,24.96,19886.1,4.48,6/5/2017 19:00
7806,3,109.45,109.04,109.42,46,40,36,1,1.2,0.8,5,4.2,4,-4.8,-4.2,-3.8,60,-0.252,3.4,13.4,4118,1.2,6/5/2017 19:00
7807,1,219.61,218.6,219.35,70,60,55,6.5,5,6,15.5,13.5,12.5,-14,-12,-11,60,-0.441,18.5,42,0,3,6/5/2017 19:15
7808,2,219.17,218.13,218.9,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.534,12.8,24.32,19888,1.92,6/5/2017 19:15
7809,3,109.47,109.01,109.43,46,38,36,1,1.2,1,5,4.2,4,-4.8,-4,-3.8,60,-0.263,3.4,13.4,4118.6,0.6,6/5/2017 19:15
7810,1,218.75,217.57,218.45,70,60,70,7.5,5.5,10.5,15.5,13,15.5,-13.5,-12,-11,60,-0.553,24.5,44,0,7,6/5/2017 19:30
7811,2,218.81,217.69,218.53,38.4,32,38.4,3.84,3.84,4.48,8.32,7.68,8.32,-7.04,-6.4,-7.04,60,-0.522,12.8,24.96,19892.5,4.48,6/5/2017 19:30
7812,3,109.43,108.98,109.36,50,40,36,2.4,1,1,5.4,4.2,3.8,-4.8,-4.2,-3.6,60,-0.348,4.8,13.6,4120,1.4,6/5/2017 19:30
7813,1,218.88,217.91,218.67,60,60,65,4,5,10,13.5,13,15,-12.5,-11.5,-11,60,-0.473,19,40.5,0,3.5,6/5/2017 19:45
7814,2,218.91,218.11,218.88,38.4,32,38.4,3.84,3.84,4.48,8.32,7.68,8.32,-7.04,-6.4,-7.04,60,-0.527,12.8,24.96,19894.4,1.92,6/5/2017 19:45
7815,3,109.54,109.14,109.55,44,40,36,1.2,1.2,0.8,4.8,4.4,4,-4.6,-4.2,-3.8,60,-0.272,3.6,13.4,4120.8,0.8,6/5/2017 19:45
7816,1,219.01,218.26,218.99,60,60,70,5,5.5,10.5,13.5,13.5,15.5,-12.5,-12,-11,60,-0.52,22,42,0,6.5,6/5/2017 20:00
7817,2,219.07,218.18,219.02,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-7.04,-6.4,-7.04,60,-0.522,12.8,24.96,19898.9,4.48,6/5/2017 20:00
7818,3,109.59,109.22,109.61,46,40,34,1,1.2,1,5,4.4,3.8,-4.8,-4.2,-3.6,60,-0.278,3.6,13.2,4122.2,1.4,6/5/2017 20:00
7819,1,219.96,218.82,219.55,60,60,65,4.5,5,10.5,13.5,13,15,-12.5,-12,-10.5,60,-0.494,20,41,0,3,6/5/2017 20:15
7820,2,219.46,218.31,219.12,38.4,32,38.4,3.84,3.84,4.48,8.32,7.68,8.32,-7.04,-6.4,-7.04,60,-0.527,12.8,24.96,19901.4,2.56,6/5/2017 20:15
7821,3,109.77,109.31,109.71,46,40,36,1,1.2,1,5,4.4,3.8,-4.8,-4.2,-3.6,60,-0.277,3.6,13.4,4122.8,0.6,6/5/2017 20:15
7822,1,220.66,219.68,220.52,60,60,65,4,5.5,10,13.5,13.5,15,-12.5,-12,-11,60,-0.489,20,41.5,0,7.5,6/5/2017 20:30
7823,2,220.6,219.58,220.5,38.4,32,38.4,3.84,3.84,4.48,8.32,7.68,8.32,-7.04,-6.4,-7.04,60,-0.527,12.8,24.96,19905.9,4.48,6/5/2017 20:30
7824,3,110.34,109.9,110.36,46,40,40,1,1.2,1.6,5,4.4,4.2,-5,-4.2,-4,60,-0.3,4.2,13.8,4124,1.2,6/5/2017 20:30
7825,1,220.25,219.39,220.1,60,60,65,4,5,10,13,13,15,-12.5,-12,-11,60,-0.479,19.5,41,0,3.5,6/5/2017 20:45
7826,2,220.11,219.11,219.99,38.4,32,38.4,3.84,3.84,4.48,8.32,7.68,8.32,-7.04,-6.4,-7.04,60,-0.522,12.8,24.96,19907.8,1.92,6/5/2017 20:45
7827,3,110.17,109.76,110.18,46,40,36,1,1,0.8,5,4.4,4,-5,-4.2,-4,60,-0.239,3.2,13.6,4124.6,0.6,6/5/2017 20:45
7828,1,220.93,219.92,220.8,60,60,55,4,4.5,6,13.5,13,13,-12.5,-12,-11,60,-0.384,15,39.5,0,6,6/5/2017 21:00
7829,2,220.79,219.76,220.67,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.534,12.8,24.32,19912.3,4.48,6/5/2017 21:00
7830,3,110.52,110.07,110.54,48,40,38,1.8,1,0.6,5.4,4.4,4.2,-5,-4.2,-4.2,60,-0.258,3.6,14,4126,1.4,6/5/2017 21:00
7831,1,220.63,219.51,220.34,60,60,70,5,5.5,11,13.5,13,15.5,-12.5,-11.5,-10.5,60,-0.522,21.5,41.5,0,3,6/5/2017 21:15
7832,2,219.92,218.7,219.81,38.4,32,38.4,3.84,3.84,4.48,8.32,7.68,8.32,-7.04,-6.4,-7.04,60,-0.534,12.8,24.32,19914.2,1.92,6/5/2017 21:15
7833,3,110.28,109.75,110.3,46,44,38,1,2.2,0.2,5,4.8,4.2,-5,-4.2,-4.2,60,-0.271,3.8,14,4126.6,0.6,6/5/2017 21:15
7834,1,221.28,220.31,221.2,60,60,65,4,5,10,13.5,13,15,-12.5,-12,-11,60,-0.481,19.5,41,0,7.5,6/5/2017 21:30
7835,2,221.36,220.39,221.31,32,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.54,13.44,24.32,19918.7,4.48,6/5/2017 21:30
7836,3,110.77,110.36,110.82,46,42,38,1,1,1,5.2,4.4,4.2,-5,-4.2,-4.2,60,-0.243,3.4,14,4127.8,1.2,6/5/2017 21:30
7837,1,221.68,220.28,221.43,60,60,60,5.5,5.5,7.5,13.5,13,13.5,-12.5,-11.5,-11,60,-0.476,19,40.5,0,3.5,6/5/2017 21:45
7838,2,221.9,220.8,221.74,38.4,32,38.4,3.84,3.84,4.48,8.32,7.68,8.32,-7.04,-6.4,-7.04,60,-0.534,12.8,24.32,19921.3,2.56,6/5/2017 21:45
7839,3,110.93,110.5,110.98,46,40,38,1.2,1.2,0.4,5,4.4,4.2,-5,-4.2,-4.2,60,-0.212,2.8,13.8,4128.4,0.6,6/5/2017 21:45
7840,1,222.92,221.95,222.68,60,60,55,4.5,7,6,13.5,14,12.5,-13,-12,-11,60,-0.445,18,40.5,0,7,6/5/2017 22:00
7841,2,222.43,221.4,222.19,32,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.538,12.8,24.32,19925.8,4.48,6/5/2017 22:00
7842,3,111.47,111,111.41,44,40,42,1,1.2,2,4.8,4.4,4.8,-4.6,-4.2,-4.2,60,-0.331,4.6,14,4129.8,1.4,6/5/2017 22:00
7843,1,219.52,218.46,219.35,60,60,55,5,5.5,7,13.5,13,12.5,-12.5,-11.5,-10.5,60,-0.46,18,39.5,0,3,6/5/2017 22:15
7844,2,219.51,218.44,219.28,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-7.04,-6.4,-7.04,60,-0.522,12.8,24.96,19927.7,1.92,6/5/2017 22:15
7845,3,109.83,109.36,109.81,42,40,40,1,1,1.8,4.6,4.4,4.4,-4.4,-4.2,-4,60,-0.304,4,13.4,4130.6,0.8,6/5/2017 22:15
7846,1,220.09,219.11,219.95,60,60,55,5,5.5,7,13.5,13,12.5,-12.5,-11.5,-10.5,60,-0.465,18,39.5,0,6.5,6/5/2017 22:30
7847,2,219.7,218.63,219.51,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.531,12.8,24.32,19932.2,4.48,6/5/2017 22:30
7848,3,110.1,109.64,110.11,42,40,36,0.8,1.4,1,4.8,4.4,4,-4.6,-4.2,-3.8,60,-0.253,3.2,13.2,4131.6,1,6/5/2017 22:30
7849,1,218.89,218.01,218.86,60,65,55,5,8,6.5,13,13.5,12.5,-12,-11,-10.5,60,-0.501,20,40,0,3,6/5/2017 22:45
7850,2,218.61,217.58,218.49,38.4,32,38.4,3.84,3.84,4.48,8.32,7.68,8.32,-7.04,-6.4,-7.04,60,-0.527,12.8,24.96,19934.1,1.92,6/5/2017 22:45
7851,3,109.48,109.05,109.55,42,40,40,0.8,1,1,4.6,4.4,4.2,-4.6,-4.2,-4.2,60,-0.234,3,13.4,4132.2,0.6,6/5/2017 22:45
7852,1,219.87,218.88,219.57,60,60,70,5.5,6,11,13.5,13,15,-12,-11.5,-10.5,60,-0.553,23,41.5,0,6,6/5/2017 23:00
7853,2,219.73,218.7,219.5,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.531,12.8,24.32,19938.6,4.48,6/5/2017 23:00
7854,3,109.99,109.55,109.99,42,40,38,1,1,0.6,4.8,4.4,4.2,-4.6,-4.2,-4.2,60,-0.206,2.8,13.6,4133.2,1,6/5/2017 23:00
7855,1,219.28,218.33,219.28,60,60,60,6,6.5,8,13.5,13.5,13,-12,-11.5,-10.5,60,-0.526,21,40,0,3.5,6/5/2017 23:15
7856,2,219.01,218.12,219.32,38.4,32,38.4,3.84,3.84,4.48,8.32,7.68,8.32,-7.04,-6.4,-7.04,60,-0.522,12.8,24.96,19941.1,2.56,6/5/2017 23:15
7857,3,109.69,109.29,109.86,42,40,38,0.8,1,1,4.6,4.2,4.2,-4.6,-4.2,-4,60,-0.245,3.2,13.4,4133.6,0.4,6/5/2017 23:15
7858,1,220.27,219.19,220.09,60,60,60,5.5,5.5,7,13.5,13,13,-12,-11.5,-10.5,60,-0.473,19,40,0,7,6/5/2017 23:30
7859,2,220.18,219.09,220.08,38.4,32,38.4,3.84,3.84,4.48,8.32,7.68,8.32,-7.04,-6.4,-7.04,60,-0.527,12.8,24.96,19945,3.84,6/5/2017 23:30
7860,3,110.27,109.81,110.35,44,40,38,0.8,1,0.6,4.8,4.4,4.2,-4.6,-4.2,-4,60,-0.208,2.8,13.4,4134.4,0.8,6/5/2017 23:30
7861,1,220.13,219.13,220,60,60,60,6,5.5,7.5,13.5,13,13,-12,-11.5,-10.5,60,-0.488,19.5,40.5,0,3.5,6/5/2017 23:45
7862,2,219.97,218.93,219.89,38.4,32,38.4,3.84,3.84,4.48,8.32,7.68,8.32,-7.04,-6.4,-7.04,60,-0.527,12.8,24.96,19947.5,2.56,6/5/2017 23:45
7863,3,110.13,109.68,110.14,42,40,38,0.8,1,1,4.8,4.4,4,-4.6,-4.2,-4,60,-0.241,3.2,13.4,4135,0.6,6/5/2017 23:45
7864,1,221.01,219.79,221.05,60,60,60,5,5,8,13.5,13,14,-12.5,-12,-11.5,60,-0.45,18.5,41,0,6,6/6/2017 0:00
7865,2,221.05,219.81,221,38.4,32,38.4,3.84,3.84,4.48,8.32,7.68,8.32,-7.04,-6.4,-7.04,60,-0.531,12.8,24.32,19952,4.48,6/6/2017 0:00
7866,3,110.63,110.09,110.71,44,40,38,0.8,1,1.2,4.8,4.4,4.2,-4.6,-4.2,-4,60,-0.257,3.4,13.4,4136,1,6/6/2017 0:00
7867,1,219.68,218.58,219.72,65,60,60,4.5,4.5,7.5,14,13,13.5,-13,-12,-11.5,60,-0.425,17.5,41,0,3,6/6/2017 0:15
7868,2,220.17,219.1,220.45,38.4,32,38.4,3.84,3.84,4.48,8.32,7.68,8.32,-7.04,-6.4,-7.04,60,-0.527,12.8,24.96,19953.9,1.92,6/6/2017 0:15
7869,3,110.05,109.61,110.24,42,40,38,0.8,1,0.8,4.8,4.2,4.2,-4.6,-4.2,-4,60,-0.219,2.8,13.4,4136.6,0.6,6/6/2017 0:15
7870,1,222.4,221.29,222.47,65,60,60,5,5,7,14,13.5,13.5,-13,-12.5,-11.5,60,-0.421,17.5,41.5,0,6,6/6/2017 0:30
7871,2,222.23,221.11,222.34,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.538,12.8,24.32,19958.4,4.48,6/6/2017 0:30
7872,3,111.25,110.72,111.39,44,38,38,0.8,1.2,1.2,4.8,4.2,4.2,-4.6,-4,-4,60,-0.262,3.4,13.4,4137.8,1.2,6/6/2017 0:30
7873,1,221.76,220.69,221.91,65,60,65,5.5,5.5,8,14,13,14,-13,-12,-11.5,60,-0.468,19.5,41.5,0,2.5,6/6/2017 0:45
7874,2,221.6,220.39,221.57,32,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.534,12.8,24.32,19960.3,1.92,6/6/2017 0:45
7875,3,110.89,110.44,110.95,44,38,36,0.8,1,0.8,4.8,4.2,4,-4.6,-4,-4,60,-0.235,3,13.2,4138.4,0.6,6/6/2017 0:45
7876,1,222.11,221.1,222.48,65,60,65,6,5.5,9,14,13.5,14.5,-12.5,-12,-11.5,60,-0.491,20.5,42,0,7,6/6/2017 1:00
7877,2,221.82,220.69,221.82,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-7.04,-6.4,-7.04,60,-0.529,12.8,24.32,19964.8,4.48,6/6/2017 1:00
7878,3,110.92,110.42,111.01,44,40,36,0.8,1,1.6,4.8,4.4,4,-4.6,-4.2,-3.8,60,-0.277,3.6,13.4,4139.4,1,6/6/2017 1:00
7879,1,221.48,220.24,221.37,60,60,65,5,5.5,9,14,13.5,14.5,-13,-12,-11.5,60,-0.486,20.5,42,0,3.5,6/6/2017 1:15
7880,2,221.24,220.06,221.31,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.527,12.8,24.32,19967.4,2.56,6/6/2017 1:15
7881,3,110.74,110.18,110.8,44,40,36,1,1,1.4,4.8,4.4,4,-4.6,-4.2,-3.8,60,-0.272,3.6,13.4,4140,0.6,6/6/2017 1:15
7882,1,222.16,221,222.09,60,55,65,4,3.5,8,14,13,14.5,-13.5,-12,-11.5,60,-0.392,16,41,0,6,6/6/2017 1:30
7883,2,221.78,220.44,221.83,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.529,12.8,24.32,19971.8,4.48,6/6/2017 1:30
7884,3,110.88,110.3,111.01,42,40,36,0.8,1,0.6,4.8,4.2,4,-4.6,-4.2,-4,60,-0.198,2.6,13.2,4141.2,1.2,6/6/2017 1:30
7885,1,221.36,220.11,221.34,60,60,60,3.5,4,7,13.5,13,13.5,-13,-12,-11.5,60,-0.376,15,40.5,0,3,6/6/2017 1:45
7886,2,220.8,219.34,220.84,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.534,12.8,24.32,19973.8,1.92,6/6/2017 1:45
7887,3,110.69,110.15,110.81,42,40,36,0.8,1,0.8,4.8,4.2,4,-4.6,-4.2,-3.8,60,-0.222,2.8,13.2,4141.6,0.4,6/6/2017 1:45
7888,1,222.36,221.27,222.51,60,55,60,4,3,6,13.5,12.5,13.5,-13,-12,-12,60,-0.336,13.5,40,0,4.5,6/6/2017 2:00
7889,2,222.46,221.14,222.4,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.532,12.8,24.32,19978.2,4.48,6/6/2017 2:00
7890,3,111.41,110.84,111.49,44,40,38,0.8,1,0.2,4.8,4.2,4.2,-4.6,-4.2,-4.2,60,-0.17,2.2,13.2,4142.4,0.8,6/6/2017 2:00
7891,1,221.32,220.03,221.32,60,55,65,4,3.5,7.5,13.5,12.5,14,-13,-12,-12,60,-0.387,15.5,40.5,0,2.5,6/6/2017 2:15
7892,2,221.13,219.88,221.23,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.538,12.8,24.32,19980.2,1.92,6/6/2017 2:15
7893,3,110.75,110.2,110.88,42,40,38,0.8,1,0.6,4.6,4.4,4.2,-4.6,-4.2,-4.2,60,-0.214,2.8,13.4,4143,0.6,6/6/2017 2:15
7894,1,222.37,221.13,222.35,60,55,60,3.5,3.5,6.5,13.5,12.5,13.5,-13,-12,-11.5,60,-0.358,14,40,0,5,6/6/2017 2:30
7895,2,222.33,220.77,222.41,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.534,12.8,24.32,19984.6,4.48,6/6/2017 2:30
7896,3,111.38,110.83,111.43,44,40,36,0.8,1,0.4,4.8,4.4,3.8,-4.6,-4.2,-3.8,60,-0.198,2.6,13.2,4143.8,0.8,6/6/2017 2:30
7897,1,223.56,222.13,223.44,60,55,60,4,3.5,6.5,13.5,13,13.5,-13,-12.5,-11.5,60,-0.352,14,40,0,2.5,6/6/2017 2:45
7898,2,223.47,221.97,223.31,32,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-6.4,60,-0.543,13.44,24.32,19987.2,2.56,6/6/2017 2:45
7899,3,111.95,111.31,111.98,44,40,38,0.8,1,1,4.8,4.4,4.2,-4.6,-4.2,-4,60,-0.228,3,13.6,4144.2,0.4,6/6/2017 2:45
7900,1,221.9,220.51,221.91,60,55,60,4,3.5,6,13.5,12.5,13,-13,-12,-11.5,60,-0.365,14.5,39.5,0,5,6/6/2017 3:00
7901,2,221.89,220.46,221.9,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-7.04,-6.4,-7.04,60,-0.52,12.8,24.32,19991,3.84,6/6/2017 3:00
7902,3,111.06,110.42,111.18,42,40,38,0.8,0.8,0.2,4.8,4.2,4.2,-4.6,-4.2,-4.2,60,-0.165,2.2,13.4,4145.2,1,6/6/2017 3:00
7903,1,222.38,220.98,222.33,60,55,60,4,3.5,6,13.5,12.5,13,-13,-12,-11.5,60,-0.346,13.5,39.5,0,2.5,6/6/2017 3:15
7904,2,221.98,220.55,221.97,32,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.532,12.8,24.32,19993.6,2.56,6/6/2017 3:15
7905,3,111.05,110.42,111.16,42,38,38,0.8,1,0.6,4.8,4.2,4.2,-4.6,-4,-4.2,60,-0.207,2.6,13.2,4145.6,0.4,6/6/2017 3:15
7906,1,221.73,220.38,221.7,60,55,65,4,4,7.5,13.5,12.5,14,-13,-12,-11.5,60,-0.396,16,40.5,0,4.5,6/6/2017 3:30
7907,2,221.66,220.48,221.57,38.4,32,38.4,3.84,3.84,4.48,8.32,7.68,8.32,-7.04,-6.4,-7.04,60,-0.534,12.8,24.32,19998.1,4.48,6/6/2017 3:30
7908,3,110.83,110.14,110.94,42,40,38,0.8,1,0.2,4.8,4.2,4.2,-4.6,-4.2,-4.2,60,-0.174,2.2,13.4,4146.6,1,6/6/2017 3:30
7909,1,220.88,219.47,220.92,60,55,60,3.5,3.5,5.5,13.5,12.5,13,-13,-12,-11.5,60,-0.338,13,39,0,2.5,6/6/2017 3:45
7910,2,220.39,219.16,220.56,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.525,12.8,24.32,20000,1.92,6/6/2017 3:45
7911,3,110.57,110,110.77,42,40,38,0.8,1,0.2,4.6,4.2,4.2,-4.6,-4.2,-4.2,60,-0.174,2.2,13.4,4147,0.4,6/6/2017 3:45
7912,1,220.65,219.37,220.72,60,55,60,3.5,3.5,5.5,13.5,12.5,13,-13,-12,-11.5,60,-0.344,13.5,39,0,4.5,6/6/2017 4:00
7913,2,220.86,219.59,220.97,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-7.04,-6.4,-7.04,60,-0.525,12.8,24.32,20004.5,4.48,6/6/2017 4:00
7914,3,110.43,109.93,110.73,42,40,38,0.8,0.8,0.2,4.8,4.2,4.2,-4.6,-4.2,-4.2,60,-0.161,2,13.2,4147.8,0.8,6/6/2017 4:00
7915,1,221.81,220.52,221.66,60,55,60,3.5,3.5,6.5,13.5,12.5,13.5,-13,-12,-11.5,60,-0.358,14,39.5,0,2.5,6/6/2017 4:15
7916,2,221.54,220.18,221.55,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.529,12.8,24.32,20006.4,1.92,6/6/2017 4:15
7917,3,110.9,110.26,110.94,42,40,36,0.8,1,0.8,4.8,4.4,4,-4.6,-4.2,-4,60,-0.215,2.8,13.2,4148.2,0.4,6/6/2017 4:15
7918,1,222.21,220.83,222.08,60,55,60,3.5,3.5,6,13.5,12.5,13,-13,-12,-11.5,60,-0.342,13.5,39,0,5,6/6/2017 4:30
7919,2,221.44,220.22,221.44,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.527,12.8,24.32,20010.9,4.48,6/6/2017 4:30
7920,3,110.88,110.35,111,44,40,38,0.8,0.8,0,4.6,4.2,4.2,-4.6,-4.2,-4.2,60,-0.151,2,13.4,4149.2,1,6/6/2017 4:30
7921,1,222.35,220.99,222.34,60,55,60,3.5,3,7.5,13.5,12.5,14,-13,-12,-11.5,60,-0.374,15,40,0,2,6/6/2017 4:45
7922,2,222.38,220.95,222.24,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.534,12.8,24.32,20012.8,1.92,6/6/2017 4:45
7923,3,111.09,110.49,111.19,42,40,40,1,1,0.4,4.6,4.4,4.4,-4.4,-4.2,-4.2,60,-0.199,2.6,13.4,4149.6,0.4,6/6/2017 4:45
7924,1,222.42,221.01,222.21,60,55,70,4.5,4,10.5,13.5,12.5,15.5,-13,-12,-11.5,60,-0.461,19,41.5,0,5.5,6/6/2017 5:00
7925,2,222.86,221.59,222.69,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.529,12.8,24.32,20017.3,4.48,6/6/2017 5:00
7926,3,111.53,110.97,111.57,44,40,38,0.8,1,0.4,4.8,4.4,4,-4.6,-4.2,-4,60,-0.186,2.4,13.4,4150.4,0.8,6/6/2017 5:00
7927,1,224.17,222.78,224.05,65,60,60,3.5,3,6,14,13,14,-13.5,-12.5,-12.5,60,-0.315,13,41,0,2,6/6/2017 5:15
7928,2,223.91,222.68,223.78,38.4,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-7.04,-6.4,-7.04,60,-0.531,12.8,24.32,20019.8,2.56,6/6/2017 5:15
7929,3,111.92,111.36,111.99,44,40,40,0.8,0.8,0.2,4.8,4.4,4.4,-4.6,-4.4,-4.4,60,-0.155,2,13.8,4150.8,0.4,6/6/2017 5:15
7930,1,223.92,222.69,223.91,65,60,65,3,3,6,14,13,13.5,-13.5,-13,-12,60,-0.307,12.5,41,0,4.5,6/6/2017 5:30
7931,2,223.97,222.62,223.97,32,32,38.4,3.84,3.84,4.48,7.68,7.68,8.32,-6.4,-6.4,-7.04,60,-0.532,12.8,24.32,20024.3,4.48,6/6/2017 5:30
