id,cluster,voltage_ab,voltage_bc,voltage_ca,current_ab,current_bc,current_ca, real_power_ab, real_power_bc, real_power_ca,apparent_power_ab,apparent_power_bc,apparent_power_ca,reactive_power_ab,reactive_power_bc,reactive_power_ca,frequency,power_factor,real_power,apparent_power,accumulate_consumption,duration_consumption,inserted_at
29,2,218.97,218.08,218.65,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.32,8.96,-8.96,-8.32,-8.96,60,-0.255,7.04,27.52,11986.6,2.56,5/9/2017 18:30
30,3,109.78,109.39,109.68,44,40,38,0.8,1.2,0.6,4.6,4.2,4,-4.6,-4,-4,60,-0.226,3,13.2,2189.2,1,5/9/2017 18:30
31,1,218.53,217.73,218.34,65,60,55,4.5,5,5.5,14,13.5,12.5,-13,-12,-11,60,-0.405,16,40,8350.5,2.5,5/9/2017 18:45
32,2,218.15,217.28,217.97,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.32,-8.32,-8.96,60,-0.257,7.04,27.52,11987.2,0.64,5/9/2017 18:45
33,3,109.38,109.01,109.39,44,40,38,0.8,1,0.4,4.6,4.2,4,-4.6,-4,-4,60,-0.196,2.4,13,2189.6,0.4,5/9/2017 18:45
34,1,218.44,217.55,218.25,60,60,55,4.5,5,5.5,13.5,13,12.5,-12.5,-11.5,-11,60,-0.411,16,39,8356,5.5,5/9/2017 19:00
35,2,218.46,217.59,218.32,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.255,7.04,27.52,11989.8,2.56,5/9/2017 19:00
36,3,109.49,109.14,109.53,44,40,38,0.8,1,0.6,4.8,4.2,4,-4.6,-4,-4,60,-0.216,2.8,13.2,2190.6,1,5/9/2017 19:00
37,1,218.7,217.74,218.32,60,60,55,5,5.5,6,13.5,13,12.5,-12.5,-11.5,-10.5,60,-0.436,17,39.5,8358.5,2.5,5/9/2017 19:15
38,2,218.91,217.88,218.53,38.4,38.4,38.4,1.92,1.92,2.56,8.96,8.96,8.96,-8.32,-8.32,-8.96,60,-0.263,7.04,27.52,11991,1.28,5/9/2017 19:15
39,3,109.58,109.08,109.44,44,40,36,0.8,1.2,0.6,4.8,4.2,3.8,-4.6,-4,-3.8,60,-0.223,2.8,13,2191.2,0.6,5/9/2017 19:15
40,1,219.51,218.67,219.2,60,60,55,4.5,5,5.5,13.5,13,12,-12.5,-12,-11,60,-0.389,15,39,8364,5.5,5/9/2017 19:30
41,2,219.55,218.68,219.25,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.261,7.04,27.52,11993.6,2.56,5/9/2017 19:30
42,3,109.95,109.57,109.88,44,40,36,0.8,1,1,4.8,4.4,4,-4.6,-4.2,-3.8,60,-0.246,3.2,13.2,2192.4,1.2,5/9/2017 19:30
43,1,218.48,217.74,218.42,60,60,55,4.5,5,5.5,13.5,13,12.5,-12.5,-12,-11,60,-0.402,15.5,39,8366.5,2.5,5/9/2017 19:45
44,2,218.99,218.16,218.85,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.32,-8.32,-8.96,60,-0.257,7.04,27.52,11994.9,1.28,5/9/2017 19:45
45,3,109.31,108.98,109.33,44,40,34,0.8,1.2,1,4.8,4.2,3.6,-4.6,-4.2,-3.6,60,-0.249,3.2,13,2193,0.6,5/9/2017 19:45
